"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
104.0,205,0.005,0.4,5.2,0.4141039999999971
98.0,190,0.007,0.69,4.9,0.3913989999999978
111.5,420,0.009,0.23,4.6,0.28561800000000187
102.0,270,0.007,1.02,9.6,0.5008979999999943
133.9,155,0.009,0.45,10.6,0.4653409999999955
133.0,490,0.011,0.32,3.8,0.27109400000000233
126.9,210,0.014,0.74,5.2,0.4262939999999959
104.0,520,0.003,0.63,10.8,0.46649499999999533
128.4,135,0.02,0.72,19.7,0.4736589999999957
94.8,300,0.011,0.49,33.2,0.4710659999999959
154.2,240,0.004,0.74,12.7,0.47435299999999575
122.0,410,0.06,1.3,54.7,0.501365999999996
111.6,510,0.016,0.59,27.3,0.4734189999999957
160.9,740,0.005,0.34,3.5,0.2856740000000018
161.8,170,0.006,0.43,3.5,0.28747800000000184
102.7,195,0.003,0.37,5.6,0.43096899999999566
149.8,290,0.008,0.5,4.9,0.3829729999999984
96.0,135,0.008,1.09,24.9,0.4924649999999959
100.0,260,0.009,0.43,17.5,0.46728799999999626
138.0,220,0.013,0.44,9.2,0.4747989999999946
130.0,200,0.008,0.37,3.1,0.28633200000000114
103.0,300,0.008,0.21,11.5,0.4447729999999968
138.7,245,0.008,0.68,7.2,0.46755199999999475
112.0,230,0.028,0.59,3.8,0.323781
118.1,410,0.006,1.09,101.0,0.4924649999999959
116.1,405,0.009,0.37,4.0,0.28322700000000234
97.6,340,0.067,0.89,8.2,0.47969799999999385
111.0,240,0.011,0.41,8.5,0.47119899999999454
151.6,295,0.008,0.51,1.1,0.1859289999999992
182.8,145,0.004,0.42,17.8,0.46728799999999626
114.9,210,0.007,0.43,1.0,0.15805200000000036
121.5,210,0.005,0.44,3.7,0.2874960000000019
131.4,210,0.038,1.27,95.6,0.501400999999996
96.0,110,0.005,0.44,8.4,0.46197599999999445
101.0,140,0.008,0.46,3.5,0.2898420000000017
134.0,280,0.017,0.51,3.5,0.30633300000000063
135.4,155,0.003,0.43,9.2,0.4747429999999946
125.0,105,0.01,0.4,2.3,0.21373099999999803
125.8,300,0.015,0.67,4.1,0.3311339999999993
122.0,160,0.038,0.52,2.1,0.2609899999999975
135.9,190,0.009,0.34,3.9,0.2814660000000024
102.3,410,0.05,1.56,4.7,0.42469399999999863
147.0,210,0.014,0.49,7.9,0.46363199999999427
96.0,130,0.008,0.77,37.8,0.4736589999999957
127.5,320,0.021,0.39,4.4,0.30662500000000126
139.4,90,0.069,0.61,4.2,0.3363239999999993
114.4,200,0.016,0.68,28.7,0.4736589999999957
116.0,205,0.079,1.19,6.3,0.4885699999999962
97.9,235,0.011,0.4,1.7,0.20236999999999894
143.5,140,0.015,0.56,10.0,0.4810459999999942
109.2,220,0.02,0.66,44.5,0.4736589999999957
106.0,315,0.012,0.28,4.1,0.26799000000000217
122.3,205,0.018,0.71,28.6,0.4736589999999957
115.8,240,0.003,0.42,4.6,0.31057100000000115
114.0,150,0.002,0.47,2.8,0.2767170000000002
124.9,150,0.039,0.7,32.6,0.4736589999999957
102.2,210,0.005,0.41,10.5,0.46810599999999536
144.9,275,0.025,0.85,7.3,0.4673879999999941
162.0,165,0.078,0.38,7.3,0.4595959999999946
60.8,280,0.018,0.61,23.1,0.4734189999999957
115.2,190,0.008,0.53,2.6,0.2944279999999992
107.6,370,0.018,0.81,98.0,0.4736589999999957
97.6,260,0.011,0.63,10.0,0.48116599999999415
132.9,300,0.145,1.76,34.0,0.5110119999999974
162.4,110,0.04,0.34,3.4,0.2863920000000017
108.2,310,0.038,0.9,54.1,0.4854799999999956
141.0,140,0.019,0.33,3.6,0.2857660000000018
141.3,90,0.009,0.27,2.3,0.1803859999999997
117.1,250,0.006,0.39,6.8,0.4595849999999952
122.6,170,0.016,0.48,3.8,0.2883450000000019
99.2,425,0.007,0.45,10.8,0.45991199999999577
117.0,320,0.035,0.79,20.1,0.4736589999999957
149.8,310,0.004,0.25,6.4,0.45032099999999553
-99.0,115,0.014,0.75,5.6,0.4796419999999963
106.0,240,0.003,0.29,5.6,0.4290129999999957
126.0,240,0.018,0.79,14.8,0.4736589999999957
119.1,205,0.005,0.31,5.4,0.42915799999999577
149.3,295,0.001,0.51,4.9,0.38471099999999836
132.8,240,0.001,0.26,9.8,0.4728769999999947
103.0,260,0.019,0.55,3.3,0.3277669999999991
121.8,280,0.017,0.38,5.8,0.4396199999999955
138.2,250,0.009,0.27,1.6,0.16529500000000014
130.5,240,0.011,0.58,9.6,0.4811479999999942
113.0,220,0.003,0.41,5.1,0.3812009999999989
