"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
107,275,0.009,0.4,4.8,0.31,6008000602,43.60505564,-79.55975311
111.7,140,0.014,0.43,3.6,0.29,6008000602,43.60505564,-79.55975311
109,180,0.027,0.36,6.2,0.45,6008000602,43.60505564,-79.55975311
111,340,0.021,0.24,9.8,0.47,6008000602,43.60505564,-79.55975311
128.7,180,0.06,0.77,2.5,0.3,6008000602,43.60505564,-79.55975311
113,200,0.012,0.39,2,0.21,6008000602,43.60505564,-79.55975311
130,175,0.006,0.34,3.5,0.29,6008000602,43.60505564,-79.55975311
122.1,225,0.053,0.36,8.2,0.46,6008000602,43.60505564,-79.55975311
102,170,0.046,1.5,14.5,0.5,6008000602,43.60505564,-79.55975311
131,195,0.009,0.78,2.7,0.31,6008000602,43.60505564,-79.55975311
121.3,270,0.555,0.61,25.4,0.44,6008000602,43.60505564,-79.55975311
137.5,260,0.014,0.65,4.3,0.34,6008000602,43.60505564,-79.55975311
128.2,235,0.016,0.51,19.5,0.47,6008000602,43.60505564,-79.55975311
109,320,0.064,0.74,87.7,0.47,6008000602,43.60505564,-79.55975311
143,190,0.096,0.61,4.3,0.34,6008000602,43.60505564,-79.55975311
84,225,0.011,0.55,2.1,0.28,6008000602,43.60505564,-79.55975311
127.4,295,0.002,0.33,5.5,0.43,6008000602,43.60505564,-79.55975311
107,280,0.012,0.18,4.1,0.26,6008000602,43.60505564,-79.55975311
114.8,405,0.002,0.42,15.9,0.47,6008000602,43.60505564,-79.55975311
108.5,150,0.011,0.39,1.4,0.19,6008000602,43.60505564,-79.55975311
110,240,0.012,0.58,13.4,0.47,6008000602,43.60505564,-79.55975311
161,150,0.012,0.65,6.7,0.46,6008000602,43.60505564,-79.55975311
114.4,200,0.001,0.61,3.7,0.33,6008000602,43.60505564,-79.55975311
131.4,320,0.042,1.15,6.8,0.5,6008000602,43.60505564,-79.55975311
113.9,330,0.108,3.75,7.7,1.28,6008000602,43.60505564,-79.55975311
123.7,320,0.006,0.42,6.8,0.46,6008000602,43.60505564,-79.55975311
134,215,0.079,0.42,2.8,0.27,6008000602,43.60505564,-79.55975311
117.5,350,0.005,0.65,6.3,0.46,6008000602,43.60505564,-79.55975311
101,200,0.019,0.29,66.9,0.47,6008000602,43.60505564,-79.55975311
124,320,0.003,0.39,9.4,0.47,6008000602,43.60505564,-79.55975311
106,230,0.009,0.3,47.1,0.47,6008000602,43.60505564,-79.55975311
99.1,310,0.008,0.61,15.1,0.47,6008000602,43.60505564,-79.55975311
113.3,375,0.024,0.37,3.8,0.28,6008000602,43.60505564,-79.55975311
91.6,175,0.382,0.58,7.7,0.46,6008000602,43.60505564,-79.55975311
103,330,0.015,0.63,38.8,0.47,6008000602,43.60505564,-79.55975311
99.2,215,0.006,0.5,15,0.47,6008000602,43.60505564,-79.55975311
127.5,690,0.01,0.36,21.7,0.47,6008000602,43.60505564,-79.55975311
117.1,270,0.007,0.45,2.2,0.21,6008000602,43.60505564,-79.55975311
116,240,0.008,0.63,13.5,0.47,6008000602,43.60505564,-79.55975311
88,400,0.006,0.42,6.3,0.45,6008000602,43.60505564,-79.55975311
143,440,0.066,0.42,8.5,0.47,6008000602,43.60505564,-79.55975311
129.1,230,0.011,0.61,5.2,0.43,6008000702,43.67833164,-79.67950823
79,260,0.01,0.42,6.9,0.46,6008000702,43.67833164,-79.67950823
131.1,190,0.009,0.69,19.4,0.47,6008000702,43.67833164,-79.67950823
124.1,215,0.006,0.5,6.9,0.47,6008000702,43.67833164,-79.67950823
157,180,0.017,0.39,5,0.37,6008000702,43.67833164,-79.67950823
90.5,155,0.003,1.1,131,0.49,6008000702,43.67833164,-79.67950823
122.4,210,0.012,0.92,51.4,0.49,6008000702,43.67833164,-79.67950823
121.4,170,0.028,1.65,9.9,0.52,6008000702,43.67833164,-79.67950823
111.7,120,0.016,0.66,161,0.47,6008000702,43.67833164,-79.67950823
109.1,480,0.416,0.79,140,0.46,6008000702,43.67833164,-79.67950823
101,110,0.014,0.89,30.7,0.49,6008000702,43.67833164,-79.67950823
144.1,380,0.096,0.38,12.9,0.47,6008000702,43.67833164,-79.67950823
107.5,340,0.007,0.8,16.6,0.47,6008000702,43.67833164,-79.67950823
81.4,225,0.004,0.37,6.7,0.46,6008000702,43.67833164,-79.67950823
114.7,315,0.003,0.21,10.3,0.47,6008000702,43.67833164,-79.67950823
108.4,280,0.018,0.21,6.4,0.45,6008000702,43.67833164,-79.67950823
116,465,0.025,0.53,13.3,0.47,6008000702,43.67833164,-79.67950823
134.6,450,0.36,0.65,62.3,0.46,6008000702,43.67833164,-79.67950823
90,500,0.004,0.62,59,0.47,6008000702,43.67833164,-79.67950823
138.1,145,0.019,0.47,3.2,0.29,6008000702,43.67833164,-79.67950823
138,370,0.009,0.44,20.9,0.47,6008000702,43.67833164,-79.67950823
112.9,295,0.02,0.61,8.6,0.48,6008000702,43.67833164,-79.67950823
97.9,170,0.015,0.35,5.4,0.43,6008000702,43.67833164,-79.67950823
107,200,0.034,1.32,90.5,0.5,6008000702,43.67833164,-79.67950823
152,370,0.055,0.22,9.2,0.47,6008000702,43.67833164,-79.67950823
150.1,155,0.005,0.4,3.8,0.28,6008000702,43.67833164,-79.67950823
92.4,200,0.049,0.33,3.3,0.29,6008000702,43.67833164,-79.67950823
127.8,240,0.018,0.3,5.8,0.44,6008000702,43.67833164,-79.67950823
113,210,0.045,0.34,5.3,0.42,6008000702,43.67833164,-79.67950823
117.1,650,0.021,1.26,109,0.5,6008000702,43.67833164,-79.67950823
109.6,305,0.014,0.28,5,0.37,6008000702,43.67833164,-79.67950823
105,290,0.029,0.46,9.7,0.47,6008000702,43.67833164,-79.67950823
136.7,225,0.007,0.44,7.4,0.46,6008000702,43.67833164,-79.67950823
110.1,600,0.03,0.78,32.7,0.47,6008000702,43.67833164,-79.67950823
