"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
113.9,330.0,0.155,3.75,7.7
130.0,110.0,0.109,2.41,320.0
106.0,220.0,0.037,1.5790000000000002,6.8
105.0,175.0,0.015,0.59,4.5
110.0,170.0,0.096,0.75,35.6
100.0,145.0,0.013,0.52,1.4
124.5,110.0,0.014,0.31,57.0
116.3,100.0,0.026,0.53,15.0
134.0,170.0,0.049,1.13,7.9
114.0,120.0,0.061,0.96,49.0
113.0,300.0,0.044,0.8,17.5
86.0,340.0,0.043,0.49,11.7
119.0,240.0,0.01,0.51,16.5
115.0,150.0,0.055,1.57,18.4
122.0,190.0,0.013,0.31,1.9
159.2,155.0,0.035,0.5,5.6
125.0,105.0,0.01,0.4,2.3
164.4,200.0,0.036,0.35,0.6
113.0,150.0,0.018,0.4,2.5
107.0,180.0,0.034,0.8,21.5
128.0,180.0,0.728,1.03,4.7
101.2,300.0,0.024,0.36,6.4
94.0,240.0,0.05,0.61,14.1
114.0,170.0,0.011,0.35,2.0
128.0,120.0,0.171,1.68,75.8
113.0,160.0,0.063,0.6,3.0
150.6,175.0,0.019,0.39,3.0
96.0,270.0,0.892,1.1,8.0
117.1,240.0,0.047,0.54,123.0
112.0,95.0,0.05,1.56,148.0
103.0,100.0,0.054,0.88,49.7
111.7,200.0,0.049,0.52,16.8
127.0,190.0,0.847,1.12,3.0
133.3,200.0,0.026,0.72,7.5
149.0,200.0,0.099,0.548,2.0
141.5,330.0,0.044,0.51,18.8
119.3,360.0,0.108,3.9,8.3
116.0,360.0,0.094,0.76,4.8
142.0,110.0,0.098,1.03,30.6
129.0,180.0,0.038,1.48,2.0
110.0,100.0,0.194,1.91,3.0
120.0,110.0,0.13,0.08,10.0
147.9,190.0,0.058,0.73,178.0
117.4,185.0,0.049,0.83,8.9
136.1,255.0,0.037,1.21,49.3
98.0,120.0,0.083,2.46,282.0
123.0,170.0,0.03,0.599,34.0
132.0,260.0,0.015,0.88,2.0
121.3,220.0,0.042,0.59,12.0
110.3,130.0,0.063,0.64,10.2
168.8,255.0,0.03,0.47,2.2
127.5,320.0,0.021,0.39,4.4
154.0,155.0,0.028,0.68,61.3
134.0,160.0,0.033,0.685,2.0
110.6,285.0,0.045,0.5,7.9
115.0,290.0,0.039,0.55,5.6
120.7,180.0,0.048,2.5,359.0
110.0,170.0,0.047,0.55,3.7
148.1,120.0,0.04,0.54,1.5
103.0,240.0,0.11,1.7,10.7
133.2,140.0,0.024,0.51,3.6
100.0,100.0,0.153,3.35,840.0
144.0,250.0,0.034,0.48,4.2
152.0,200.0,0.033,0.53,6.2
