"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
213.1,250.0,0.029,0.45,4.2,0.3017400000000017
139.7,240.0,0.007,0.71,2.7,0.3105999999999985
113.3,200.0,0.005,0.31,3.1,0.2695190000000012
111.1,290.0,0.023,0.42,8.7,0.4743949999999946
138.4,200.0,0.007,0.74,2.1,0.28570399999999746
149.2,290.0,0.01,0.55,8.8,0.4814599999999941
100.0,430.0,0.008,0.33,14.7,0.4666789999999963
95.6,120.0,0.014,0.43,43.3,0.46728799999999626
118.5,205.0,0.004,0.51,3.6,0.3066470000000006
96.7,265.0,0.018,0.49,5.2,0.4189929999999965
144.6,310.0,0.033,0.25,97.4,0.4660389999999963
127.0,210.0,0.004,0.47,1.4,0.19240999999999936
106.3,290.0,0.005,0.42,5.6,0.43182699999999563
99.9,210.0,0.006,0.53,10.5,0.47430199999999484
139.7,215.0,0.012,0.51,5.7,0.437332999999995
141.4,240.0,0.016,1.24,3.1,0.39172899999999894
103.0,460.0,0.008,0.69,34.0,0.4736589999999957
100.4,235.0,0.003,0.36,8.8,0.47390199999999466
159.9,270.0,0.041,0.25,8.9,0.47366599999999465
105.9,520.0,0.038,0.64,9.2,0.482462999999994
135.0,275.0,0.013,0.74,85.6,0.4736589999999957
112.0,260.0,0.007,0.96,111.0,0.49057099999999587
111.9,700.0,0.013,0.4,45.8,0.46728799999999626
132.1,185.0,0.02,0.47,11.6,0.44760099999999653
109.0,190.0,0.009,0.32,17.1,0.4662029999999963
150.8,250.0,0.012,0.18,2.2,0.148338
99.7,350.0,0.012,0.23,2.9,0.2348830000000012
115.1,210.0,0.058,0.47,29.4,0.46878499999999607
123.8,240.0,0.013,0.37,27.2,0.4668169999999963
120.0,400.0,0.018,0.29,2.0,0.17810299999999962
103.6,380.0,0.06,0.45,68.6,0.4674289999999962
122.9,195.0,0.025,0.45,1.8,0.21173499999999848
107.0,275.0,0.009,0.4,4.8,0.3140770000000011
111.7,140.0,0.014,0.43,3.6,0.28808900000000187
109.0,180.0,0.027,0.36,6.2,0.45062499999999556
111.0,340.0,0.021,0.24,9.8,0.4726199999999947
128.7,180.0,0.06,0.77,2.5,0.29868699999999837
113.0,200.0,0.012,0.39,2.0,0.2081159999999982
130.0,175.0,0.006,0.34,3.5,0.2856740000000018
122.1,225.0,0.053,0.36,8.2,0.4588799999999945
102.0,170.0,0.046,1.5,14.5,0.5032839999999968
131.0,195.0,0.009,0.78,2.7,0.31269699999999817
121.3,270.0,0.555,0.61,25.4,0.4363239999999998
137.5,260.0,0.014,0.65,4.3,0.3372759999999994
128.2,235.0,0.016,0.51,19.5,0.4717559999999958
109.0,320.0,0.064,0.74,87.7,0.4736389999999957
143.0,190.0,0.096,0.61,4.3,0.33680399999999927
