"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
97.9,170.0,0.015,0.35,5.4,0.43
107.0,200.0,0.034,1.32,90.5,0.5
152.0,370.0,0.055,0.22,9.2,0.47
150.1,155.0,0.005,0.4,3.8,0.28
92.4,200.0,0.049,0.33,3.3,0.29
127.8,240.0,0.018,0.3,5.8,0.44
113.0,210.0,0.045,0.34,5.3,0.42
117.1,650.0,0.021,1.26,109.0,0.5
109.6,305.0,0.014,0.28,5.0,0.37
105.0,290.0,0.029,0.46,9.7,0.47
136.7,225.0,0.007,0.44,7.4,0.46
110.1,600.0,0.03,0.78,32.7,0.47
131.8,450.0,0.008,0.6,2.6,0.31
109.8,305.0,0.01,0.59,10.2,0.48
120.4,255.0,0.026,0.14,2.1,0.14
122.0,210.0,0.008,0.68,1.5,0.28
101.0,260.0,0.039,0.3,5.8,0.44
129.6,195.0,0.008,0.88,10.0,0.48
137.0,180.0,0.037,0.85,113.0,0.47
116.1,255.0,0.021,0.5,4.4,0.32
106.8,265.0,0.063,0.36,7.8,0.46
109.5,520.0,0.07,0.69,16.7,0.47
110.4,450.0,0.03,0.66,58.7,0.47
123.0,275.0,0.027,0.36,0.9,0.15
109.0,120.0,0.009,0.71,40.8,0.47
146.6,150.0,0.052,0.47,5.2,0.42
91.0,510.0,0.022,0.7,12.6,0.47
98.0,200.0,0.193,0.44,10.4,0.47
122.9,110.0,0.004,0.33,3.6,0.29
171.3,310.0,0.024,0.38,6.7,0.46
111.9,320.0,0.022,0.66,20.6,0.47
119.3,310.0,0.027,0.85,26.7,0.47
90.7,470.0,0.004,0.4,2.9,0.28
87.0,450.0,0.009,0.65,7.1,0.47
116.3,340.0,0.006,0.39,8.8,0.47
133.3,200.0,0.015,0.72,7.5,0.47
114.2,400.0,0.008,0.99,34.6,0.49
119.4,200.0,0.038,0.36,0.9,0.15
112.5,145.0,0.031,0.38,3.2,0.29
115.0,290.0,0.016,0.55,5.6,0.44
125.8,320.0,0.026,0.29,4.8,0.3
93.0,270.0,0.012,1.03,61.1,0.49
119.0,240.0,0.072,0.51,16.5,0.47
109.0,110.0,0.12,0.3,0.9,0.13
106.2,200.0,0.048,0.58,2.1,0.29
114.6,120.0,0.011,0.61,11.4,0.45
130.1,360.0,0.004,0.65,2.0,0.29
124.2,210.0,0.006,0.4,4.2,0.3
106.7,220.0,0.011,0.46,7.0,0.46
110.2,340.0,0.014,0.51,50.3,0.47
116.3,110.0,0.099,0.58,4.5,0.34
102.8,-99.0,0.065,0.39,5.6,0.43
113.8,270.0,0.011,0.56,2.9,0.32
95.1,700.0,0.029,1.51,12.4,0.48
109.3,235.0,0.005,0.28,9.6,0.47
118.0,330.0,0.039,0.44,3.1,0.29
123.4,300.0,0.028,0.73,9.1,0.48
112.3,330.0,0.015,1.4,49.7,0.5
89.9,210.0,0.113,0.24,1.8,0.16
104.0,140.0,0.087,0.34,9.3,0.47
92.7,330.0,0.007,2.33,583.0,0.52
120.2,210.0,0.031,0.41,11.9,0.45
113.0,240.0,0.016,0.41,2.3,0.21
151.1,230.0,0.03,0.47,6.1,0.45
140.7,90.0,0.038,0.42,5.3,0.43
167.4,155.0,0.004,0.62,13.3,0.47
110.8,210.0,0.019,1.83,12.7,0.51
118.1,375.0,0.009,0.32,14.8,0.47
126.9,150.0,0.035,0.33,3.2,0.29
98.7,170.0,0.026,2.35,794.0,0.52
136.1,255.0,0.005,1.21,49.3,0.5
101.9,130.0,0.008,0.42,2.7,0.27
85.0,360.0,0.007,0.28,6.3,0.45
115.9,445.0,0.014,0.72,54.6,0.47
115.0,170.0,0.005,0.48,4.1,0.3
91.7,270.0,0.008,0.5,4.5,0.32
124.1,530.0,0.026,0.58,16.2,0.47
115.6,240.0,0.029,0.59,15.8,0.47
104.2,180.0,0.027,0.68,62.8,0.47
108.0,130.0,0.013,1.01,163.0,0.49
98.0,240.0,0.075,0.29,17.3,0.47
116.0,525.0,0.033,1.1,160.0,0.49
146.8,160.0,0.025,0.4,6.3,0.45
122.9,220.0,0.029,0.9,10.0,0.49
122.8,305.0,0.031,0.37,2.0,0.21
121.7,265.0,0.006,0.24,6.2,0.45
159.7,250.0,0.006,0.37,3.1,0.29
136.8,270.0,0.003,0.44,2.9,0.28
108.3,295.0,0.016,0.32,2.9,0.26
99.1,190.0,0.002,0.45,8.3,0.46
125.0,300.0,0.026,0.53,7.9,0.47
-99.0,350.0,0.005,0.48,2.4,0.24
121.8,120.0,0.035,0.99,19.8,0.49
100.0,510.0,0.039,0.57,13.8,0.47
117.2,160.0,0.006,0.43,5.1,0.38
132.6,290.0,0.127,0.9,21.2,0.49
129.1,100.0,0.011,0.33,1.5,0.19
88.0,445.0,0.007,0.4,0.8,0.17
119.1,195.0,0.026,0.34,5.0,0.37
148.2,260.0,0.001,0.04,3.2,0.22
152.4,185.0,0.004,0.34,1.5,0.19
113.0,150.0,0.008,0.4,2.5,0.22
86.5,225.0,0.02,2.75,77.8,1.02
116.7,360.0,0.019,0.66,118.0,0.47
105.0,120.0,0.012,0.43,4.1,0.29
109.0,140.0,0.005,0.35,3.7,0.29
163.0,240.0,0.024,0.57,1.9,0.29
106.0,340.0,0.017,0.25,1.8,0.17
104.0,300.0,0.019,1.01,12.4,0.47
116.9,130.0,0.02,0.68,6.8,0.47
99.7,255.0,0.011,0.44,1.5,0.2
128.5,220.0,0.069,0.2,6.4,0.45
141.2,210.0,0.025,0.39,7.9,0.46
128.3,270.0,0.007,0.48,16.6,0.47
106.9,190.0,0.021,0.75,26.2,0.47
104.0,390.0,0.077,0.4,4.7,0.31
90.0,330.0,0.024,2.16,116.4,0.52
126.3,360.0,0.009,0.58,5.8,0.45
128.4,350.0,0.021,1.59,12.8,0.51
118.0,150.0,0.013,0.33,10.9,0.46
93.1,340.0,0.012,0.64,76.0,0.47
144.8,200.0,0.006,0.54,4.0,0.32
-99.0,540.0,0.012,0.83,14.0,0.51
106.4,270.0,0.158,0.41,5.1,0.38
152.1,265.0,0.065,0.54,26.4,0.47
124.1,180.0,0.001,0.43,43.8,0.47
101.9,200.0,0.003,0.53,9.3,0.48
102.1,200.0,0.004,0.31,3.6,0.27
146.9,140.0,0.004,0.41,3.6,0.29
159.8,150.0,0.004,0.59,2.6,0.31
120.9,180.0,0.004,0.63,50.1,0.47
99.3,120.0,0.013,0.82,28.6,0.47
83.0,130.0,0.009,0.726,7.9,0.47
128.2,305.0,0.013,0.24,5.7,0.43
